ngram,distance,timestamp,corpus,tokens,mfw_min_grid,mfw_max_grid,n_mfw_used,mean_ari_hclust,median_ari_hclust,sd_ari_hclust,mean_ari_kmeans,median_ari_kmeans,sd_ari_kmeans
1,argamon,2025-09-11 23:40:38,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,100,800,8,0.8096064211977436,0.8245493542909755,0.04556599791187418,0.7826699715234939,0.8058881687355817,0.04204632981566276
1,canberra,2025-09-11 23:40:38,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,100,800,8,0.8096064211977436,0.8245493542909755,0.04556599791187418,0.7826699715234939,0.8058881687355817,0.04204632981566276
1,cosine,2025-09-11 23:40:38,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,100,800,8,0.8096064211977436,0.8245493542909755,0.04556599791187418,0.7826699715234939,0.8058881687355817,0.04204632981566276
1,delta,2025-09-11 23:40:38,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,100,800,8,0.8096064211977436,0.8245493542909755,0.04556599791187418,0.7826699715234939,0.8058881687355817,0.04204632981566276
1,eder,2025-09-11 23:40:38,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,100,800,8,0.8096064211977436,0.8245493542909755,0.04556599791187418,0.7826699715234939,0.8058881687355817,0.04204632981566276
1,euclidean,2025-09-11 23:40:38,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,100,800,8,0.8096064211977436,0.8245493542909755,0.04556599791187418,0.7826699715234939,0.8058881687355817,0.04204632981566276
1,simple,2025-09-11 23:40:38,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,100,800,8,0.8096064211977436,0.8245493542909755,0.04556599791187418,0.7826699715234939,0.8058881687355817,0.04204632981566276
2,argamon,2025-09-11 23:40:38,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,100,800,8,0.5164780992856253,0.5500903724758806,0.1166268182250717,0.5248789487255763,0.533359175907133,0.11581015607418764
2,canberra,2025-09-11 23:40:38,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,100,800,8,0.5164780992856253,0.5500903724758806,0.1166268182250717,0.5248789487255763,0.533359175907133,0.11581015607418764
2,cosine,2025-09-11 23:40:38,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,100,800,8,0.5164780992856253,0.5500903724758806,0.1166268182250717,0.5248789487255763,0.533359175907133,0.11581015607418764
2,delta,2025-09-11 23:40:38,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,100,800,8,0.5164780992856253,0.5500903724758806,0.1166268182250717,0.5248789487255763,0.533359175907133,0.11581015607418764
2,eder,2025-09-11 23:40:38,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,100,800,8,0.5164780992856253,0.5500903724758806,0.1166268182250717,0.5248789487255763,0.533359175907133,0.11581015607418764
2,euclidean,2025-09-11 23:40:38,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,100,800,8,0.5164780992856253,0.5500903724758806,0.1166268182250717,0.5248789487255763,0.533359175907133,0.11581015607418764
2,simple,2025-09-11 23:40:38,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,100,800,8,0.5164780992856253,0.5500903724758806,0.1166268182250717,0.5248789487255763,0.533359175907133,0.11581015607418764
3,argamon,2025-09-11 23:40:38,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,100,800,8,0.23402355856572837,0.22340565082282923,0.03564106004004968,0.25547014432579723,0.2524874531470628,0.03757814090939542
3,canberra,2025-09-11 23:40:38,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,100,800,8,0.23402355856572837,0.22340565082282923,0.03564106004004968,0.25547014432579723,0.2524874531470628,0.03757814090939542
3,cosine,2025-09-11 23:40:38,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,100,800,8,0.23402355856572837,0.22340565082282923,0.03564106004004968,0.25547014432579723,0.2524874531470628,0.03757814090939542
3,delta,2025-09-11 23:40:38,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,100,800,8,0.23402355856572837,0.22340565082282923,0.03564106004004968,0.25547014432579723,0.2524874531470628,0.03757814090939542
3,eder,2025-09-11 23:40:38,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,100,800,8,0.23402355856572837,0.22340565082282923,0.03564106004004968,0.25547014432579723,0.2524874531470628,0.03757814090939542
3,euclidean,2025-09-11 23:40:38,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,100,800,8,0.23402355856572837,0.22340565082282923,0.03564106004004968,0.25547014432579723,0.2524874531470628,0.03757814090939542
3,simple,2025-09-11 23:40:38,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,100,800,8,0.23402355856572837,0.22340565082282923,0.03564106004004968,0.25547014432579723,0.2524874531470628,0.03757814090939542
4,argamon,2025-09-11 23:40:38,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,100,800,8,0.02417736012011569,0.02310779591444175,0.00859838557539939,0.02944183155841685,0.02828000532229878,0.00920154122913765
4,canberra,2025-09-11 23:40:38,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,100,800,8,0.02417736012011569,0.02310779591444175,0.00859838557539939,0.02944183155841685,0.02828000532229878,0.00920154122913765
4,cosine,2025-09-11 23:40:38,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,100,800,8,0.02417736012011569,0.02310779591444175,0.00859838557539939,0.02944183155841685,0.02828000532229878,0.00920154122913765
4,delta,2025-09-11 23:40:38,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,100,800,8,0.02417736012011569,0.02310779591444175,0.00859838557539939,0.02944183155841685,0.02828000532229878,0.00920154122913765
4,eder,2025-09-11 23:40:38,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,100,800,8,0.02417736012011569,0.02310779591444175,0.00859838557539939,0.02944183155841685,0.02828000532229878,0.00920154122913765
4,euclidean,2025-09-11 23:40:38,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,100,800,8,0.02417736012011569,0.02310779591444175,0.00859838557539939,0.02944183155841685,0.02828000532229878,0.00920154122913765
4,simple,2025-09-11 23:40:38,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,100,800,8,0.02417736012011569,0.02310779591444175,0.00859838557539939,0.02944183155841685,0.02828000532229878,0.00920154122913765
1,delta,2025-09-12 18:49:43,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,100,800,8,0.8096064211977436,0.8245493542909755,0.04556599791187418,0.7826699715234939,0.8058881687355817,0.04204632981566276
1,simple,2025-09-12 18:49:43,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,100,800,8,0.7993463865082675,0.8039081018546197,0.02306294040178507,0.7755387459592042,0.7956513351641652,0.06913120128943483
1,argamon,2025-09-12 18:49:43,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,100,800,8,0.7928282335133957,0.8142476697736352,0.06174086163340818,0.7998311720748397,0.8202843314264199,0.06799140735485802
1,eder,2025-09-12 18:49:43,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,100,800,8,0.7907765155717069,0.8142476697736352,0.0538717877070587,0.7466690492431478,0.7689959471080561,0.07951815927462623
1,canberra,2025-09-12 18:49:43,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,100,800,8,0.7224555109897244,0.7372643196499225,0.03996954408093382,0.7126835777722095,0.7142935491495367,0.05154972147146442
2,cosine,2025-09-12 18:49:43,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,100,800,8,0.656739053143629,0.70809792843691155,0.12227249992377738,0.5786805654118281,0.6175434460160549,0.10475229243961952
2,simple,2025-09-12 18:49:43,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,100,800,8,0.6191359450710775,0.6722976474246036,0.16146122322086515,0.6268297348992807,0.6471643541287897,0.14383872410873455
3,cosine,2025-09-12 18:49:43,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,100,800,8,0.5653510270098063,0.5855529070369987,0.12644162747644752,0.5461886133116297,0.5608476710549417,0.08833032411788831
1,cosine,2025-09-12 18:49:43,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,100,800,8,0.558914809789825,0.5782914487202518,0.06552312259651011,0.3397234555667355,0.34327795866550526,0.04100193563788822
2,delta,2025-09-12 18:49:43,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,100,800,8,0.5164780992856253,0.5500903724758806,0.1166268182250717,0.5248789487255763,0.533359175907133,0.11581015607418764
3,canberra,2025-09-12 18:49:43,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,100,800,8,0.502377460745122,0.52759095869128525,0.1474556079726688,0.46637004187349873,0.48447893569844785,0.14848126140869192
2,argamon,2025-09-12 18:49:43,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,100,800,8,0.4968635148599704,0.5053772408765211,0.08549176068355344,0.5052979492789179,0.5324122058792935,0.0755878803267444
2,euclidean,2025-09-12 18:49:43,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,100,800,8,0.4757572212916027,0.4911231685261369,0.08878539734820347,0.5120586483141177,0.5109859154929578,0.07811854829599303
2,eder,2025-09-12 18:49:43,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,100,800,8,0.47214643550021274,0.5013649519193535,0.09920165487956202,0.4975020517561387,0.48492827310695474,0.10965186026506574
2,canberra,2025-09-12 18:49:43,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,100,800,8,0.4482873085786878,0.4670865447742336,0.10733901727282072,0.43208201221369247,0.44255706564330055,0.13998448016889858
1,euclidean,2025-09-12 18:49:43,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,100,800,8,0.42492064832000254,0.4471481787490804,0.06584730936541992,0.4111875581031995,0.42753599164724687,0.06353572235366892
3,simple,2025-09-12 18:49:43,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,100,800,8,0.35358446515678377,0.3650973660962763,0.0361003513686429,0.36606409953461266,0.3747869984257771,0.05090182764277636
3,delta,2025-09-12 18:49:43,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,100,800,8,0.23402355856572837,0.22340565082282923,0.03564106004004968,0.25547014432579723,0.2524874531470628,0.03757814090939542
3,eder,2025-09-12 18:49:43,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,100,800,8,0.23080711942796983,0.2449281534634622,0.05033147274761476,0.24394792814211488,0.25227224451262686,0.03636487413976948
3,argamon,2025-09-12 18:49:43,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,100,800,8,0.18909508355870985,0.19076430325776011,0.02798414788024433,0.21951754655223835,0.2191842582447104,0.03246072743786751
4,canberra,2025-09-12 18:49:43,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,100,800,8,0.185474462596038,0.17770164689954843,0.08020255572725107,0.18791135323566116,0.1883795977356243,0.09879949534422676
4,cosine,2025-09-12 18:49:43,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,100,800,8,0.1848439929537127,0.2144512354955139,0.0686038928228762,0.19146916908275433,0.213141369228371,0.08458844046379373
3,euclidean,2025-09-12 18:49:43,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,100,800,8,0.1779487670043024,0.17754157913849877,0.01608985949021713,0.21563262289250612,0.20513390296442777,0.03770690845620978
4,simple,2025-09-12 18:49:43,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,100,800,8,0.02626237705357697,0.02468825106128085,0.00778554867514984,0.03612000107468254,0.03843616816687968,0.01009514713376332
4,delta,2025-09-12 18:49:43,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,100,800,8,0.02417736012011569,0.02310779591444175,0.00859838557539939,0.02944183155841685,0.02828000532229878,0.00920154122913765
4,euclidean,2025-09-12 18:49:43,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,100,800,8,0.02159288233619049,0.02139304620762547,0.00705852573018566,0.02598959961966382,0.02600974116208378,0.00846683993596438
4,argamon,2025-09-12 18:49:43,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,100,800,8,0.02139020556725971,0.02186077776727071,0.00800924018139505,0.03552957667181608,0.03395368884090365,0.00672724376013805
4,eder,2025-09-12 18:49:43,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,100,800,8,0.02108887049242871,0.02105403378246586,0.00537475916417943,0.02203861660598959,0.02293133026873171,0.00906795879704228
1,delta,2025-09-14 14:42:31,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,100,800,8,0.8096064211977436,0.8245493542909755,0.04556599791187418,0.7826699715234939,0.8058881687355817,0.04204632981566276
1,simple,2025-09-14 14:42:31,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,100,800,8,0.7993463865082675,0.8039081018546197,0.02306294040178507,0.7755387459592042,0.7956513351641652,0.06913120128943483
1,argamon,2025-09-14 14:42:31,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,100,800,8,0.7928282335133957,0.8142476697736352,0.06174086163340818,0.7998311720748397,0.8202843314264199,0.06799140735485802
1,eder,2025-09-14 14:42:31,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,100,800,8,0.7907765155717069,0.8142476697736352,0.0538717877070587,0.7466690492431478,0.7689959471080561,0.07951815927462623
1,canberra,2025-09-14 14:42:31,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,100,800,8,0.7224555109897244,0.7372643196499225,0.03996954408093382,0.7126835777722095,0.7142935491495367,0.05154972147146442
2,cosine,2025-09-14 14:42:31,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,100,800,8,0.656739053143629,0.70809792843691155,0.12227249992377738,0.5786805654118281,0.6175434460160549,0.10475229243961952
2,simple,2025-09-14 14:42:31,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,100,800,8,0.6191359450710775,0.6722976474246036,0.16146122322086515,0.6268297348992807,0.6471643541287897,0.14383872410873455
3,cosine,2025-09-14 14:42:31,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,100,800,8,0.5653510270098063,0.5855529070369987,0.12644162747644752,0.5461886133116297,0.5608476710549417,0.08833032411788831
1,cosine,2025-09-14 14:42:31,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,100,800,8,0.558914809789825,0.5782914487202518,0.06552312259651011,0.3397234555667355,0.34327795866550526,0.04100193563788822
2,delta,2025-09-14 14:42:31,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,100,800,8,0.5164780992856253,0.5500903724758806,0.1166268182250717,0.5248789487255763,0.533359175907133,0.11581015607418764
3,canberra,2025-09-14 14:42:31,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,100,800,8,0.502377460745122,0.52759095869128525,0.1474556079726688,0.46637004187349873,0.48447893569844785,0.14848126140869192
2,argamon,2025-09-14 14:42:31,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,100,800,8,0.4968635148599704,0.5053772408765211,0.08549176068355344,0.5052979492789179,0.5324122058792935,0.0755878803267444
2,euclidean,2025-09-14 14:42:31,data/interim/fixed_8000_balanced_2_20250828_160242/chunks,752000,100,800,8,0.4757572212916027,0.4911231685261369,0.08878539734820347,0.5120586483141177,0.5109859154929578,0.07811854829599303
